E.La Saint Patrick, qui a lieu le 17 mars est une fête à ne pas manquer lorsque l'on n'est pas en PACES.	4. Concernant la spéciation (4R) :	UE7S110104	VRAI							segmo
D. Certaines pathologies psychiatriques auraient pu ne pas advenir, si une réponse psychologique précoce avait été faite. Comme par exemple la dépression ou les conduites suicidaires.	8) Parmi les propositions suivantes concernant la psychiatrie, indiquer la (les) proposition(s) vrai(e)s :	UE7T120108	VRAI							
E. La psychiatrie est une spécialité des troubles mentaux avec une sémiologie, une prise en charge, et des maladies spécifiques.	8) Parmi les propositions suivantes concernant la psychiatrie, indiquer la (les) proposition(s) vrai(e)s :	UE7T120108	VRAI							
A. Le génotype est une caractéristique observable d'un individu résultant de l'interaction du milieu dans lequel il vit et de son génome.	9) Parmi les propositions suivantes concernant les notions importantes de psychologie, indiquer la (les) proposition(s) vrai(e)s :	UE7T120109	FAUX	A. Faux, Définition du phénotype et non du génotype						
B. Les interactions font évoluer le débat inné acquis vers le débat maturation apprentissage.	9) Parmi les propositions suivantes concernant les notions importantes de psychologie, indiquer la (les) proposition(s) vrai(e)s :	UE7T120109	VRAI							
C. Le génotype est le capital génétique.	9) Parmi les propositions suivantes concernant les notions importantes de psychologie, indiquer la (les) proposition(s) vrai(e)s :	UE7T120109	VRAI							
D. Le phénotype est non observable.	9) Parmi les propositions suivantes concernant les notions importantes de psychologie, indiquer la (les) proposition(s) vrai(e)s :	UE7T120109	FAUX	D. Faux, le phénotype est une caractéristique OBSERVABLE !						
E. Le génotype permet des modifications du phénotype selon le vécu de l'individu.	9) Parmi les propositions suivantes concernant les notions importantes de psychologie, indiquer la (les) proposition(s) vrai(e)s :	UE7T120109	VRAI							
A. La vie du patient est une caractéristique importante dans la psychologie médicale.	10) Parmi les propositions suivantes concernant la psychologie, indiquer la (les) proposition(s) vrai(e)s :	UE7T120110	VRAI							
B. Les Allemands consomment environ 3.5 fois plus de psychotropes que les Français.	10) Parmi les propositions suivantes concernant la psychologie, indiquer la (les) proposition(s) vrai(e)s :	UE7T120110	FAUX	B. Faux, les français consomment 21.5% alors que les allemand 6% soit une consommation 3.5 fois plus importante						
C. Canguilhem a établi une définition de l'homme normal.	10) Parmi les propositions suivantes concernant la psychologie, indiquer la (les) proposition(s) vrai(e)s :	UE7T120110	VRAI							
D. Les troubles de la personnalité impliquent une souffrance du patient, mais pas de son entourage.	10) Parmi les propositions suivantes concernant la psychologie, indiquer la (les) proposition(s) vrai(e)s :	UE7T120110	FAUX	D. Faux, trouble de la personnalité = souffrance de la personne et de son ENTOURAGE						
E. La définition statistique de la normalité dit qu'elle se situe entre 2 écarts types.	10) Parmi les propositions suivantes concernant la psychologie, indiquer la (les) proposition(s) vrai(e)s :	UE7T120110	VRAI	E. Vrai, la distribution se fait selon une courbe en cloche, la norme se définit par les valeurs très près de la moyenne, tandis que les extrémités de la courbe (jusqu'à 2 écarts types) renvoient plutôt à la notion d'anormalité.						
A. L'état civil est une source de données dynamiques enregistrées par les communes depuis 1792.	11) Concernant les sources de données démographiques en France, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120111	VRAI							
B. Le recensement est un ensemble de données enregistrées par l'INSEE et de manière exhaustive depuis 2004.	11) Concernant les sources de données démographiques en France, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120111	FAUX	B: Faux, en zones tournantes depuis 2004						
C. Les enquêtes ad hoc par sondage permettent l'enregistrement de données non exhaustives.	11) Concernant les sources de données démographiques en France, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120111	VRAI							
D. L'état civil concerne des données exhaustives sur les naissances, les décès ou bien encore les mariages.	11) Concernant les sources de données démographiques en France, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120111	VRAI							
E. Le recensement enregistre des données dynamiques détaillées concernant l'étude du mode de vie des personnes.	11) Concernant les sources de données démographiques en France, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120111	FAUX	E: Faux, le recensement registre des données statiques						
A. La classe d'âge des 20-59 ans est plus de six fois plus importante que la classe des 75 et plus.	12) Concernant l'état de la population en France en 2010, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120112	VRAI							
B. Les moins de 20 ans représentent environ un quart de la population.	12) Concernant l'état de la population en France en 2010, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120112	VRAI							
C. Les 65 ans et plus représentent moins d'un cinquième de la population.	12) Concernant l'état de la population en France en 2010, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120112	VRAI							
D. La population correspondant à la définition sanitaire du vieillissement représente environ un dixième de la population.	12) Concernant l'état de la population en France en 2010, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120112	VRAI							
E. Le vieillissement démographique est plus important dans le nord que dans le sud de la France.	12) Concernant l'état de la population en France en 2010, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120112	FAUX	E: Faux, le vieillissement démographique est prépondérant dans le sud ouest						
A. Le nombre de décès représente un peu moins de deux tiers des naissances.	13) Concernant la natalité et la mortalité en France en 2010, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120113	VRAI							
B. L'indice de fécondité de la population est supérieur au seuil de remplacement des générations.	13) Concernant la natalité et la mortalité en France en 2010, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120113	FAUX	B: Faux, l'indice de fécondité est de 2,01, le seuil de remplacement est de 2,10						
C. L'indice de fécondité en France est le plus élevé d'Europe.	13) Concernant la natalité et la mortalité en France en 2010, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120113	FAUX	C: Faux, le deuxième d'Europe						
D. Le solde naturel, tout comme le solde migratoire, sont positifs en France.	13) Concernant la natalité et la mortalité en France en 2010, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120113	VRAI							
E. L'écart d'espérance de vie, en fonction du genre, s'est creusé au cours du vingtième siècle.	13) Concernant la natalité et la mortalité en France en 2010, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120113	VRAI							
A. Les facteurs de risque environnementaux sont surtout individuels.	14) Concernant les facteurs de risque épidémiologiques suivants, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120114	FAUX	A. Faux, ils concernent des groupes de personnes						
B. La capacité d'action des individus sur les facteurs de risque environnementaux est primordiale.	14) Concernant les facteurs de risque épidémiologiques suivants, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120114	FAUX	B. Faux, cette capacité d'action est faible voire nulle						
C. Un facteur de risque peut être favorable.	14) Concernant les facteurs de risque épidémiologiques suivants, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120114	VRAI							
D. Les facteurs de risque intrinsèques relèvent de l'âge, du sexe ou bien encore des facteurs génétiques.	14) Concernant les facteurs de risque épidémiologiques suivants, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120114	VRAI							
E. Le baromètre santé est une enquête réalisée par l'INSEE, par téléphone (4000 personnes) concernant la santé perçue, les pratiques ou bien encore les représentations qu'ont les personnes du système de santé.	14) Concernant les facteurs de risque épidémiologiques suivants, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120114	FAUX	E. Faux, le Baromètre santé est réalisé par l'INPES						
A. Le tabac est responsable de 5% des décès en France par an.	15) Concernant les addictions, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120115	FAUX	A. Faux, 15%						
B. La consommation régulière d'alcool chez les jeunes dans le sud-ouest est représentée par une fréquence plus élevée que la moyenne nationale.	15) Concernant les addictions, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120115	VRAI							
C. L'alcool a des retentissements multiples sur la santé : cancers, neuropathies ou encore syndromes d'alcoolisme fœtal.	15) Concernant les addictions, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120115	VRAI							
D. Les décès par surdose d'héroïne subissent une augmentation de leur fréquence depuis les années 90.	15) Concernant les addictions, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120115	FAUX	D. Faux, les décès par surdose d'héroïne ont bien diminué depuis les années 90						
E. La politique de réduction des risques n'interdit pas la consommation mais protège les consommateurs de certains risque liés à la consommation de drogues.	15) Concernant les addictions, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120115	VRAI							
A. La morbidité exprimée est reflétée par le recours aux soins ou par d'autres réponses à des problèmes de santé tandis que la morbidité objective est mesurée dans la population par une enquête.	16) Concernant la morbidité, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120116	VRAI							
B. La prévalence est un indicateur statique alors que l'incidence est un indicateur dynamique.	16) Concernant la morbidité, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120116	VRAI							
C. Concernant la morbidité ressentie, les hommes jugent leur état de santé d'une manière plus négative que les femmes.	16) Concernant la morbidité, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120116	FAUX	C. Faux, les femmes ont une plus mauvaise image de leur santé						
D. Concernant la morbidité hospitalière, le motif principal d'hospitalisation correspond aux maladies de l'appareil respiratoire.	16) Concernant la morbidité, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120116	FAUX	D. Faux, aux maladies de l'appareil digestif						
E. Les maladies à déclaration obligatoire font l'objet d'une surveillance au niveau national avec l'INPES.	16) Concernant la morbidité, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120116	FAUX	E. Faux, au niveau national, surveillance par l'Institut National de Veille Sanitaire						
A. La demande de remboursement à 100% à l'assurance maladie est réalisée par le malade.	17) Concernant les ALD, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120117	FAUX	A. Faux, à la demande du médecin						
B. Le médecin s'engage à respecter un protocole de soins.	17) Concernant les ALD, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120117	FAUX	B. Faux, le patient s'engage à respecter un protocole de soins						
C. Ces ALD concernent des maladies longues, graves et pour lesquelles les soins sont lourds.	17) Concernant les ALD, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120117	VRAI							
D. Les patients atteints par une ALD bénéficient de la gratuité des soins en rapport avec leur ALD, accordée par l'assurance maladie.	17) Concernant les ALD, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120117	VRAI							
E. Les deux ALD les plus présentes au sein de la population française sont d'une part les cancers et d'autre part le diabète.	17) Concernant les ALD, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120117	VRAI							
A. L'effectif correspondant aux chirurgiens dentistes correspond approximativement au double de celui des sages femmes.	18) Concernant les professions de santé en France en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120118	VRAI							
B. L'effectif des infirmiers est évalué à un peu plus d'un demi-million.	18) Concernant les professions de santé en France en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120118	VRAI							
C. Le pourcentage de libéraux en ce qui concerne la profession des pharmaciens est légèrement inférieur à 50%.	18) Concernant les professions de santé en France en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120118	VRAI							
D. La proportion des pharmaciens dans les villes de moins de dix mille habitants est la plus importante comparativement aux autres professions de santé.	18) Concernant les professions de santé en France en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120118	VRAI							
E. La rémunération pour les professionnels de santé libéraux est fondée sur la Convention qui est un accord périodique national négocié entre les syndicats de chacune des professions de santé libérale et l'Union Nationale des Caisses d'Assurance Maladie, avec approbation du ministère chargé de la santé.	18) Concernant les professions de santé en France en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120118	VRAI							
A. La prévention, la veille sanitaire et la gestion des crises sanitaires.	19) Parmi les missions suivantes, lesquelles sont assurées par les Unions Régionales des professionnels de santé d'exercice libéral ?	UE7T120119	FAUX	A. Faux, par l'Etat						
B. L'analyse des besoins de santé et de l'offre de soins.	19) Parmi les missions suivantes, lesquelles sont assurées par les Unions Régionales des professionnels de santé d'exercice libéral ?	UE7T120119	FAUX	B. Faux, par l'Etat						
C. Le numerus clausus annuel de chaque profession de santé pour la région.	19) Parmi les missions suivantes, lesquelles sont assurées par les Unions Régionales des professionnels de santé d'exercice libéral ?	UE7T120119	FAUX	C. Faux, le numerus clausus annuel est fixé par le ministère chargé de la santé						
D. Elles ont un rôle dans la promotion de la santé et de l'éducation thérapeutique.	19) Parmi les missions suivantes, lesquelles sont assurées par les Unions Régionales des professionnels de santé d'exercice libéral ?	UE7T120119	VRAI							
E. L'organisation de l'exercice professionnel concernant la permanence des soins ou bien encore le développement professionnel continu.	19) Parmi les missions suivantes, lesquelles sont assurées par les Unions Régionales des professionnels de santé d'exercice libéral ?	UE7T120119	VRAI							
A. L'effectif des médecins est voisin de celui des infirmiers.	20) Concernant la profession de médecin en France en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120120	FAUX	A. Faux, médecins : plus de 200 000 ; infirmiers : plus de 500 000						
B. Du fait d'un statut libéral non majoritaire, la répartition géographique des médecins en France est relativement homogène malgré quelques déserts médicaux.	20) Concernant la profession de médecin en France en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120120	FAUX	B. Faux, statut libéral majoritaire (proche de 60%) donc répartition géographique hétérogène						
C. Les omnipraticiens et les chirurgiens entrent majoritairement dans le cadre de la convention de secteur 2.	20) Concernant la profession de médecin en France en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120120	FAUX	C. Faux, les chirurgiens sont en effet majoritairement de secteur 2 mais les omnipraticiens sont massivement de secteur 1 (pour près de 90% d'entre eux)						
D. La consultation des chirurgiens dentistes ou bien encore les personnes ayant moins de 16 ans ne sont pas dans l'obligation, selon la loi du 13 août 2004, de suivre le parcours coordonné de soins.	20) Concernant la profession de médecin en France en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120120	VRAI							
E. Le numerus clausus annuel est aujourd'hui supérieur à celui de la fin du vingtième siècle.	20) Concernant la profession de médecin en France en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120120	VRAI							
A. Leur 4 principes communs sont la religion, l'approche spéculative, la magie et l'empirisme.	1. Parmi les propositions suivantes, concernant les protomédecines, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140101	VRAI							
B. La magie repose sur des forces transcendantes à la nature.	1. Parmi les propositions suivantes, concernant les protomédecines, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140101	FAUX	B.Faux, La magie repose sur des forces immanentes à la nature						
C. L'archéomédecine est antérieure à la paléomédecine.	1. Parmi les propositions suivantes, concernant les protomédecines, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140101	FAUX	C.Faux, La paléomédecine (médecine de la préhistoire) précède l'archéomédecine (médecine des premières civilisations)						
D. Les médecines traditionnelles sont aujourd'hui utilisées par des milliards d'hommes.	1. Parmi les propositions suivantes, concernant les protomédecines, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140101	VRAI							
E. L'homéopathie est une pratique pseudo-scientifique.	1. Parmi les propositions suivantes, concernant les protomédecines, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140101	VRAI							
A. Elle a lieu vers 400 avant J-C.	2. Parmi les propositions suivantes, concernant la première révolution biologique, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140102	FAUX	AC = première révolution médicale						
B. Ses grandes figures sont Harvey et Vésale.	2. Parmi les propositions suivantes, concernant la première révolution biologique, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140102	VRAI							
C. Sa grande figure est Hippocrate.	2. Parmi les propositions suivantes, concernant la première révolution biologique, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140102	FAUX	AC = première révolution médicale						
D. Elle a lieu à la Renaissance (vers 1600).	2. Parmi les propositions suivantes, concernant la première révolution biologique, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140102	VRAI							
E. C'est une révolution anatomo-clinique.	2. Parmi les propositions suivantes, concernant la première révolution biologique, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140102	FAUX	E. = 2ème révolution médicale (vers 1800)						
A. Elle a lieu vers le milieu du XXe siècle.	3. Parmi les propositions suivantes, concernant la troisième révolution médicale, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140103	VRAI							
B. Elle est basée sur les concepts de communication et d'information.	3. Parmi les propositions suivantes, concernant la troisième révolution médicale, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140103	FAUX	B. Faux, c'est la dernière révolution médicale qui est basée sur des concepts de communication et d'information						
C. C'est une révolution thérapeutique.	3. Parmi les propositions suivantes, concernant la troisième révolution médicale, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140103	VRAI							
D. Pendant cette révolution, Virchow découvre la pénicilline.	3. Parmi les propositions suivantes, concernant la troisième révolution médicale, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140103	FAUX	D. Faux, c'est Fleming qui a découvert la pénicilline						
E. C'est une révolution techno-biologique.	3. Parmi les propositions suivantes, concernant la troisième révolution médicale, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140103	FAUX	E. Faux, c'est une révolution thérapeutique						
A. Une endémie est une épidémie étendue à la population de tout un continent voire au monde entier.	4. Parmi les propositions suivantes concernant l'histoire de la médecine, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140104	FAUX	A. Faux, une endémie est la présence habituelle d'une maladie dans une population ou région donnée						
B. Pasteur est à l'origine du vaccin contre la variole.	4. Parmi les propositions suivantes concernant l'histoire de la médecine, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140104	FAUX	B. Faux, Jenner est à l'origine du vaccin contre la variole						
C. La grippe espagnole a fait plus de morts que la première guerre mondiale.	4. Parmi les propositions suivantes concernant l'histoire de la médecine, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140104	VRAI							
D. La première pandémie de peste est appelée peste noire.	4. Parmi les propositions suivantes concernant l'histoire de la médecine, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140104	FAUX	D. Faux, la première pandémie de peste est la peste justinienne (haut Moyen-Age), la seconde pandémie est la peste noire (milieu du XIVe siècle)						
E. Notre pathocénose est identique à celle du XIXe siècle.	4. Parmi les propositions suivantes concernant l'histoire de la médecine, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140104	FAUX	E. Chaque époque a sa pathocénose propre!						
A. Thomas Sydenham est l'auteur de la Nosologie Méthodique.	5. Parmi les propositions suivantes concernant la révolution anatomo-clinique, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140105	FAUX	A. Faux, Boissier de sauvages est l'auteur de la Nosologie Méthodique						
B. Corvisart invente le stéthoscope en 1816.	5. Parmi les propositions suivantes concernant la révolution anatomo-clinique, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140105	FAUX	B. Faux, Laennec invente le stéthoscope en 1816						
C. Trousseau développe la trachéotomie.	5. Parmi les propositions suivantes concernant la révolution anatomo-clinique, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140105	VRAI							
D. Pinel bouleverse la prise en charge des personnes atteintes de maladies psychiatriques.	5. Parmi les propositions suivantes concernant la révolution anatomo-clinique, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140105	VRAI							
E. Broca identifie l'aire du langage dans le cerveau.	5. Parmi les propositions suivantes concernant la révolution anatomo-clinique, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140105	VRAI							
A. Virchow est l'auteur d'Omnis cellula e cellula.	6. Parmi les propositions suivantes concernant la révolution biophysiologique, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140106	VRAI							
B. Les grosses molécules (ADN,ARNm) sont découvertes avant les petites (ATP, Krebs).	6. Parmi les propositions suivantes concernant la révolution biophysiologique, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140106	FAUX	B. Faux, les petites molécules sont découvertes avant les grosses!						
C. Mendel formule ces lois sur l'hérédité en 1865.	6. Parmi les propositions suivantes concernant la révolution biophysiologique, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140106	VRAI							
D. Claude Bernard est l'auteur de l'Introduction à l'étude de la médecine expérimentale.	6. Parmi les propositions suivantes concernant la révolution biophysiologique, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140106	VRAI							
E. Le kymographe de Ludwig sert à enregistrer le pouls.	6. Parmi les propositions suivantes concernant la révolution biophysiologique, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140106	FAUX	E. Faux, le kymographe de Ludwig permet de mesurer la pression						
A. Au XVIIe siècle, la théorie de la génération spontanée domine.	7. Parmi les propositions suivantes concernant la révolution microbiologique, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140107	VRAI							
B. Pouchet démontre qu'il n'y a pas de génération spontanée.	7. Parmi les propositions suivantes concernant la révolution microbiologique, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140107	FAUX	B. Faux, au contraire Pouchet est partisan de la génération spontanée, c'est Pasteur qui met fin à cette théorie en 1864						
C. Le premier vaccin contre la variole date de 1896.	7. Parmi les propositions suivantes concernant la révolution microbiologique, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140107	FAUX	C. Faux, il date le premier vaccin contre la variole date de 1796						
D. Yersin est à l'origine de la sérothérapie antidiphtérique.	7. Parmi les propositions suivantes concernant la révolution microbiologique, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140107	FAUX	D. Faux, Emile Roux est à l'origine de la sérothérapie antidiphtérique. Yersin isole le germe de la peste						
E. Semmelweiss permit la diminution du nombre de décès dus à la fièvre puerpérale.	7. Parmi les propositions suivantes concernant la révolution microbiologique, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140107	VRAI							
"A. Hippocrate distinguait 3 branches thérapeutiques : les médicaments, la chirurgie et la ""diète""."	8. Parmi les propositions suivantes concernant l'histoire de la médecine, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140108	VRAI							
B. La chirurgie a connu un grand essor avant la découverte de l'anesthésie.	8. Parmi les propositions suivantes concernant l'histoire de la médecine, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140108	FAUX	B. Faux, au contraire, le développement de la chirurgie était limité par les douleurs opératoires						
C. Pasteur est à l'origine de l'asepsie.	8. Parmi les propositions suivantes concernant l'histoire de la médecine, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140108	VRAI							
D. A la fin du XVIIIe siècle, l'espérance de vie à la naissance est d'environ 30 ans.	8. Parmi les propositions suivantes concernant l'histoire de la médecine, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140108	VRAI							
E. Au XXe siècle, l'espérance de vie a connu une augmentation particulièrement forte après la seconde guerre mondiale.	8. Parmi les propositions suivantes concernant l'histoire de la médecine, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140108	FAUX	E. Faux, c'est surtout après la première guerre mondiale que l'espérance de vie a particulièrement augmenté avec l'émergence de produits thérapeutiques, de la réanimation et des médicaments						
A. Dans l'Antiquité, on expérimentait des poisons sur des condamnés.	9. Parmi les propositions suivantes concernant l'éthique biomédicale, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140109	VRAI							
B. Ambroise Paré est à l'origine d'une étude sur le scorbut.	9. Parmi les propositions suivantes concernant l'éthique biomédicale, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140109	FAUX	B. Faux, c'est James LIND qui mène un essai sur le scorbut						
C. Jenner a testé le premier vaccin contre la variole sur un jeune garçon.	9. Parmi les propositions suivantes concernant l'éthique biomédicale, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140109	VRAI							
D. Pour C. Nicolle, l'expérimentation humaine est indispensable au progrès.	9. Parmi les propositions suivantes concernant l'éthique biomédicale, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140109	VRAI							
E. Au début du XXème siècle l'Allemagne dispose d'un code d'éthique sur l'expérimentation.	9. Parmi les propositions suivantes concernant l'éthique biomédicale, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140109	VRAI							
A. Les médecins détenus ont été obligé de participer à des expérimentations médicales.	10. Parmi les propositions suivantes concernant l'éthique durant la seconde guerre mondiale, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140110	VRAI							
B. Le procès de Nuremberg des médecins nazis a eu lieu en 1946.	10. Parmi les propositions suivantes concernant l'éthique durant la seconde guerre mondiale, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140110	VRAI							
C. Les résultats des expérimentations nazis ont été exploités après la guerre.	10. Parmi les propositions suivantes concernant l'éthique durant la seconde guerre mondiale, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140110	FAUX	C. Faux, les conditions d'expérimentation (entre autres) étaient trop médiocres						
D. De nombreux médecins allemands se sont opposés à ces expérimentations.	10. Parmi les propositions suivantes concernant l'éthique durant la seconde guerre mondiale, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140110	FAUX	D. Faux, au contraire, personne n'a rien dit!						
E. Depuis sa création, la déclaration d'Helsinki n'a pas été modifiée.	10. Parmi les propositions suivantes concernant l'éthique durant la seconde guerre mondiale, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140110	FAUX	E. Faux, il a été modifié de nombreuses fois (la dernière modification date d'octobre dernier)						
A. 3&lt;1&lt;2&lt;5&lt;4<div>B. 1&lt;5&lt;4&lt;3&lt;2</div><div>C. 4&lt;1&lt;3&lt;2&lt;5</div><div><!--anki-->D. 5&lt;1&lt;3&lt;2&lt;4</div><div>E. 2&lt;4&lt;5&lt;1&lt;2</div>	11. Classez les évènements suivants du plus ancien au plus récent, et indiquez la proposition exacte : <br />1. Tuskegee study (prendre la date de début de l'expérience) <br />2. La déclaration d'Helsinki <br />3.Le procès de Nuremberg <br />4. Le rapport Belmont <br />5. Le code d'éthique de Beaumont	UE7T140111	D	ABCDE. 1. Tuskegee study = 1932 <br />2 .La déclaration d'Helsinki = 1964 <br />3. Le procès de Nuremberg = 1946 <br />4. Le rapport Belmont = 1978 <br />5. Le code Beaumont = 1833						
A. Ils dépendent des laboratoires qui sont à l'origine des recherches.	12. Parmi les propositions suivantes concernant les CPP, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140112	FAUX	A. Faux, ils sont indépendants						
B. Le consentement de la personne participant à la recherche n'est pas obligatoire.	12. Parmi les propositions suivantes concernant les CPP, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140112	FAUX	B. Faux, le consentement est obligatoire!						
C. De nos jours, il existe toujours des problèmes éthiques liés à la recherche biomédicale.	12. Parmi les propositions suivantes concernant les CPP, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140112	VRAI							
D. Certaines catégories de personnes bénéficient de mesures de protection particulières.	12. Parmi les propositions suivantes concernant les CPP, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140112	VRAI							
E. Ils sont constitués uniquement de membres médicaux.	12. Parmi les propositions suivantes concernant les CPP, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140112	FAUX	E. Faux, les CPP sont constitués de membres médicaux et de membres issus de la société civile						
A. Nier la mort est à la base de tout édifice culturel.	13. Parmi les propositions suivantes concernant l'histoire de la mort en Occident, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140113	VRAI							
B. Dans l'Egypte ancienne, on distingue deux morts : la mort renaissance et la mort survie.	13. Parmi les propositions suivantes concernant l'histoire de la mort en Occident, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140113	FAUX	B. Faux, c'est pendant la Préhistoire que l'on distingue ces deux morts (mort renaissance et mort survie)						
C. Les Hébreux sont à l'origine du concept de l'immortalité de l'âme.	13. Parmi les propositions suivantes concernant l'histoire de la mort en Occident, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140113	FAUX	C. Faux, l'immortalité de l'âme est un concept qui apparaît dès l'Egypte ancienne						
"D. En Grèce antique, la ""bonne"" mort est glorieuse."	13. Parmi les propositions suivantes concernant l'histoire de la mort en Occident, laquelle (lesquelles) est (sont) exacte(s)?	UE7T140113	VRAI							
