C. Le génotype est l'état d'un caractère observable chez un être vivant	25. Concernant le séquençage des génomes:	UE7S110325	FAUX	C.c'est le phénotype qui permet cela)						segmo
A. Une femme sur vingt fume pendant sa grossesse.	13) Concernant la santé de la mère et de l'enfant, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120313	FAUX	A. Faux, 1/5 des femmes fument pendant leur grossesse						
B. En 2003, la péridurale concernait 1/3 des accouchements et la césarienne était réalisée dans 50% des accouchements.	13) Concernant la santé de la mère et de l'enfant, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120313	FAUX	B. Faux, césarienne : 1/5 ; et péridurale : 2/3						
C. La part des mères de plus de 35 ans diminue.	13) Concernant la santé de la mère et de l'enfant, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120313	FAUX	C. Faux, du fait du recul de l'âge du premier enfant, la part des mères de plus de 35 ans augmente						
D. La proportion de naissances prématurées est aujourd'hui supérieure à celle de la fin du 20ème siècle.	13) Concernant la santé de la mère et de l'enfant, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120313	VRAI							
E. La consommation de tabac chez la femme durant la grossesse peut engendrer une hypotrophie du nouveau-né.	13) Concernant la santé de la mère et de l'enfant, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120313	VRAI							
A. L'ordonnance de 1958.<div>B. La loi du 31 décembre 1970.</div><div>C. La loi du 30 juin 1975.</div><div>D. La loi du 31 juillet 1991.</div><div>E. L'ordonnance du 26 avril 1996.</div>	14) Concernant les lois hospitalières suivantes, lesquelles font l'objet d'une planification sanitaire ?	UE7T120314	BD							
A. La loi du 30 juin 1975 a permis la mise en place du service public hospitalié.	15) Concernant les Missions de Service Public parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120315	FAUX	A. Faux, c'est la loi du 31 décembre 1970						
B. Ce service public assure la permanence des soins, c'est à dire le système de garde.	15) Concernant les Missions de Service Public parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120315	VRAI							
C. La permanence des soins regroupe plus de 1500 établissements publics de santé.	15) Concernant les Missions de Service Public parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120315	FAUX	C. Faux, 1000 établissements publics et 500 privés à but non lucratif						
D. Les autres missions sont l'enseignement, la prévention, la recherche, le SAMU et le SMUR.	15) Concernant les Missions de Service Public parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120315	VRAI							
E. Les établissement privés ne sont pas impliqués dans cette MSP car ce service public est particulièrement onéreux.	15) Concernant les Missions de Service Public parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120315	FAUX	E. Faux, les établissements privés à but lucratif participent à ce service public						
A. L'effectif des infirmiers est de plus de 500000.	16) Concernant la profession d'infirmier en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120316	VRAI							
B. Le statut libéral est majoritaire dans cette profession.	16) Concernant la profession d'infirmier en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120316	FAUX	B. Faux, la part de libéraux est de 15%						
C. Les infirmiers sont surtout en établissement médico-social.	16) Concernant la profession d'infirmier en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120316	FAUX	C. Faux, ils sont à environ 70% dans les hôpitaux						
D. Cette profession comporte un fort taux de spécialisation (puériculture, anesthésie, bloc opératoire, cadre).	16) Concernant la profession d'infirmier en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120316	FAUX	D. Faux, environ 10% de spécialisation						
E. Environ 100000 personnes sont prises en charge par les Services de Soins Infirmiers À Domicile.	16) Concernant la profession d'infirmier en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120316	VRAI							
A. Sur les 450000 lits, la moitié concerne des soins MCO.	17) Concernant les hôpitaux en France en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120317	VRAI							
B. Les SMUR sont très majoritairement dans les établissements publics.	17) Concernant les hôpitaux en France en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120317	VRAI							
C. 3/4 des patients venant d'eux mêmes au service des urgences n'ont pas besoin de soins urgents.	17) Concernant les hôpitaux en France en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120317	VRAI							
D. On dénombre environ 25000000 passages dans les établissements de santé publics ou privés.	17) Concernant les hôpitaux en France en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120317	VRAI	25M						
E. Les soins palliatifs sont surtout des soins de confort (écoute, contrôle de la douleur).	17) Concernant les hôpitaux en France en 2011, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120317	VRAI							
A. Une partie des cotisations sociales ont été remplacées par un impôt : la Contribution Sociale Généralisée.	18) Concernant le financement des soins en France, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120318	VRAI							
B. L'adhésion au système de protection sociale est obligatoire dans les pays développés, qu'ils soient à logique bismarckienne ou à logique beveridgienne.	18) Concernant le financement des soins en France, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120318	VRAI							
C. Les cotisations mutualistes prennent en compte le salaire et le degré de couverture que veut obtenir le mutualiste.	18) Concernant le financement des soins en France, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120318	VRAI							
D. Les personnes ne pouvant ni verser de cotisations à une mutuelle, ni de prime à une assurance privée, peuvent bénéficier d'une couverture complémentaire.	18) Concernant le financement des soins en France, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120318	VRAI	D. Vrai, pour les 500 000 personnes qui bénéficient de la CMU complémentaire						
E. Les couvertures complémentaires n'ont pas un but lucratif.	18) Concernant le financement des soins en France, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120318	FAUX	E. Faux, but lucratif pour les assurances privées						
A. La loi de financement de la sécurité sociale a introduit une disposition selon laquelle le gouvernement détermine chaque année, a priori, le budget de la sécurité sociale pour l'année suivante.	19) Concernant les principes de la protection sociale en France, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120319	FAUX	A. Faux, c'est le parlement						
B. La HAS et l'AFSSAPS définissent les soins requis, c'est-à-dire, les soins qui justifient un financement par la Sécurité sociale.	19) Concernant les principes de la protection sociale en France, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120319	VRAI	AFSSAPS remplacé par ANSM en 2012						
C. Les soins requis (soins qui justifient un financement par la Sécurité sociale)&nbsp;nécessite au préalable des recommandations de l'assurance maladie concernant ces soins.	19) Concernant les principes de la protection sociale en France, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120319	FAUX	C. Faux, définition indépendante de l'assurance maladie des soins requis						
D. Les femmes enceintes de plus de 6 mois bénéficient d'une exonération du ticket modérateur.	19) Concernant les principes de la protection sociale en France, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120319	VRAI							
E. Les ALD font l'objet d'une exonération du reste à charge.	19) Concernant les principes de la protection sociale en France, parmi les propositions suivantes, lesquelles sont exactes ?	UE7T120319	VRAI							
A. La prévention.	20) Concernant les soins suivants, lequel (ou lesquels) est (ou sont) concerné(s) par la dotation globale ?	UE7T120320	FAUX							
B. Les soins externes.	20) Concernant les soins suivants, lequel (ou lesquels) est (ou sont) concerné(s) par la dotation globale ?	UE7T120320	FAUX							
C. La psychiatrie.	20) Concernant les soins suivants, lequel (ou lesquels) est (ou sont) concerné(s) par la dotation globale ?	UE7T120320	VRAI							
D. Les soins MCO.	20) Concernant les soins suivants, lequel (ou lesquels) est (ou sont) concerné(s) par la dotation globale ?	UE7T120320	FAUX							
E. Les Soins de Suite et de Réadaptation.	20) Concernant les soins suivants, lequel (ou lesquels) est (ou sont) concerné(s) par la dotation globale ?	UE7T120320	VRAI							
A. On définit le langage comme étant « un système de signes d'origine humaine utilisé à des fins de communication »	1. Selon les notions abordées dans le cours quel(les) sont la (ou les) réponse(s) exacte(s) à propos du langage :	UE7T130301	FAUX	A. Définition du langage : « tout système de signes d'origine humaine ou non utilisé à des fins de communication »						
B. La grande partie du processus permettant son acquisition est acquise	1. Selon les notions abordées dans le cours quel(les) sont la (ou les) réponse(s) exacte(s) à propos du langage :	UE7T130301	FAUX	B. La grande partie du processus permettant son acquisition est innée						
C. Le signifiant est l'expression phonique dans ses aspects acoustiques, articulatoires et moteurs	1. Selon les notions abordées dans le cours quel(les) sont la (ou les) réponse(s) exacte(s) à propos du langage :	UE7T130301	VRAI							
D. Le signifié est le sens du mot au sein d'une phrase	1. Selon les notions abordées dans le cours quel(les) sont la (ou les) réponse(s) exacte(s) à propos du langage :	UE7T130301	VRAI							
E. Il peut y avoir plusieurs signifiés pour un signifiant.	1. Selon les notions abordées dans le cours quel(les) sont la (ou les) réponse(s) exacte(s) à propos du langage :	UE7T130301	VRAI	ex : vers, vert, verre						
A. Premières phrases entre 20 et 26 mois	2. Concernant le développement du langage chez l'enfant, indiquez la (ou les) proposition(s) exacte(s) :	UE7T130302	VRAI							
B. Les babillages marquent la période de 6 à 12 mois	2. Concernant le développement du langage chez l'enfant, indiquez la (ou les) proposition(s) exacte(s) :	UE7T130302	VRAI							
C. Vers 3 ans l'enfant est capable d'employer le pronom personnel « je »	2. Concernant le développement du langage chez l'enfant, indiquez la (ou les) proposition(s) exacte(s) :	UE7T130302	VRAI							
D. Augmentation du lexique entre 12 et 16 mois	2. Concernant le développement du langage chez l'enfant, indiquez la (ou les) proposition(s) exacte(s) :	UE7T130302	FAUX	D. Augmentation du lexique entre 16 et 12 mois						
E. Le système auditif et le système de production des sons sont fonctionnels dès les deux derniers mois de la grossesse.	2. Concernant le développement du langage chez l'enfant, indiquez la (ou les) proposition(s) exacte(s) :	UE7T130302	FAUX	E. Le système auditif est fonctionnel dès les 2 derniers mois de grossesse tandis que le système de production des sons est plus tardif						
A. Dans le développement, le langage proprement parlé succède au dialogue « corporel »	3. A propos du langage, quelle(s) sont la (ou les) réponse(s) exacte(s) :	UE7T130303	VRAI							
B. La langue reflète la structure psychologique de l'individu	3. A propos du langage, quelle(s) sont la (ou les) réponse(s) exacte(s) :	UE7T130303	FAUX	B. La langue reflète la structure psychologique du groupe, la parole celle de l'individu						
C. Dans les pathologies du langage on compte la manie marquée par une tachyphémie	3. A propos du langage, quelle(s) sont la (ou les) réponse(s) exacte(s) :	UE7T130303	VRAI							
D. Se penser soi-­‐même est une capacité propre à l'homme	3. A propos du langage, quelle(s) sont la (ou les) réponse(s) exacte(s) :	UE7T130303	VRAI							
E. Plus le développement avance plus le langage s'impose sur le devant de la scène et les autres sources d'échanges s'inactivent.	3. A propos du langage, quelle(s) sont la (ou les) réponse(s) exacte(s) :	UE7T130303	FAUX	E. Au fur et à mesure du développement le langage prend le devant de la scène mais les autres sources d'échange restent actives						
A. Il possède une sensorialité pré-­‐partum	4. A propos du développement affectif du nourrisson :	UE7T130304	VRAI							
B. Il est un être social dès la naissance	4. A propos du développement affectif du nourrisson :	UE7T130304	VRAI							
C. Le bébé a une préférence pour l'animé et pour le visage humain mais n'a pas de capacité d'imitation néonatale.	4. A propos du développement affectif du nourrisson :	UE7T130304	FAUX	C. Le bébé a une préférence pour l'animé et pour le visage humain et a une capacité d'imitation néonatale						
D. A 8 semaines de vie il est capable d'exprimer des émotions	4. A propos du développement affectif du nourrisson :	UE7T130304	VRAI							
E. La transparence psychique est l'état psychologique spécifique de la mère pendant la grossesse.	4. A propos du développement affectif du nourrisson :	UE7T130304	VRAI	E. Remarque : La transparence psychique est l'état particulier de la mère pendant la grossesse et pendant la 1 ère année de vie de l'enfant						
A. Le corps change et devient le représentant du narcissisme et du sentiment d'identité	5. Concernant les notions générales de l'adolescence quelle(s) sont la (ou les) réponse(s) exacte(s) :	UE7T130305	VRAI							
B. La confrontation à la réalité entraîne la perte des rêves de l'enfance	5. Concernant les notions générales de l'adolescence quelle(s) sont la (ou les) réponse(s) exacte(s) :	UE7T130305	VRAI							
C. La problématique de l'adolescent est plus névrotique que narcissique	5. Concernant les notions générales de l'adolescence quelle(s) sont la (ou les) réponse(s) exacte(s) :	UE7T130305	FAUX	C. Problématique narcissique (suis-je capable de réussir quelque chose ?) plutôt que névrotique (problèmes de conflits)						
D. Le déni est l'une des réactions principales lors du deuil des images parentales idéalisées	5. Concernant les notions générales de l'adolescence quelle(s) sont la (ou les) réponse(s) exacte(s) :	UE7T130305	FAUX	D. Le déni n'est pas une des quatre réactions. Les quatre principales sont : régression, retrait sur soi, transfert sur des substituts parentaux, transformation en leur contraire des sentiments pour les parents						
E. Les comportements changent selon les moments, les lieux et les personnes d'où une fuite dans l'espace pour remplacer le temps.	5. Concernant les notions générales de l'adolescence quelle(s) sont la (ou les) réponse(s) exacte(s) :	UE7T130305	VRAI							
A. Qu'elles concernent 50% des consultations des médecins généralistes	6. Concernant les plaintes fonctionnelles, selon les notions abordées dans le cours, on peut dire :	UE7T130306	VRAI							
B. Qu'elles nécessitent un diagnostic qui ne doit pas être péjoratif	6. Concernant les plaintes fonctionnelles, selon les notions abordées dans le cours, on peut dire :	UE7T130306	VRAI							
C. Que la prise en charge est uniquement verbale	6. Concernant les plaintes fonctionnelles, selon les notions abordées dans le cours, on peut dire :	UE7T130306	FAUX	C. La prise en charge est avant tout verbale mais aussi d'autres techniques comme la relaxation, tout en évitant les médicaments et en limitant les examens complémentaires						
D. Que ce sont des patients présentant une pathologie caractérisée et des plaintes relevant d'un malaise dont l'expression se fait par le corps	6. Concernant les plaintes fonctionnelles, selon les notions abordées dans le cours, on peut dire :	UE7T130306	FAUX	D. Ce sont des patients ne présentant pas une pathologie caractérisée mais des plaintes fonctionnelles relevant d'un malaise dont l'expression se fait par le corps						
E. Que ne pas avoir de lésions au sens strict médical ne veut pas dire qu'il n'y a pas de souffrance réelle à traiter.	6. Concernant les plaintes fonctionnelles, selon les notions abordées dans le cours, on peut dire :	UE7T130306	VRAI							
A. Il faut adapter les soins en prenant en compte les besoins du développement et l'âge du sujet	7. Dans le cadre d'une hospitalisation :	UE7T130307	VRAI							
B. Chez l'adolescent la présence psychique des parents est nécessaire.	7. Dans le cadre d'une hospitalisation :	UE7T130307	VRAI							
C. Chez la personne âgée comme chez l'enfant il faut maintenir un rythme fixe et fiable dans les visites	7. Dans le cadre d'une hospitalisation :	UE7T130307	VRAI							
D. En cas de séparation de la mère et du bébé entre le 6 ème et le 8 ème mois il existe un risque de dépression anaclitique	7. Dans le cadre d'une hospitalisation :	UE7T130307	VRAI							
E. Chez l'enfant il faut limiter le nombre d'intervenants et laisser une place centrale aux parents.	7. Dans le cadre d'une hospitalisation :	UE7T130307	VRAI							
A. Il faut accompagner la personne jusqu'au bout	8. En cas de pronostic vital :	UE7T130308	VRAI							
B. Il ne faut pas hésiter à se décharger sur les psychologues	8. En cas de pronostic vital :	UE7T130308	FAUX	B. Il faut accompagner la personne jusqu'au bout, sans se décharger sur les psychologues, c'est le rôle de tout soignant						
C. Il faut imposer des échanges sur la mort pour évacuer les malaises des patients	8. En cas de pronostic vital :	UE7T130308	FAUX	C. Ne pas évacuer les échanges sur la mort mais ne pas les imposer non plus						
D. Il faut respecter les rites de deuil	8. En cas de pronostic vital :	UE7T130308	VRAI							
E. Il faut s'occuper avant tout du malade mais pas de la famille.	8. En cas de pronostic vital :	UE7T130308	FAUX	E. Il faut accompagner la famille						
A. La mort est omniprésente dans les familles et dans les jeux vidéo	9. Concernant la maladie, la mort et le deuil, indiquez la (ou les) réponse(s) exacte(s) :	UE7T130309	FAUX	A. Le sujet de la mort est peu abordé dans les familles mais omniprésent dans les jeux vidéo						
B. La notion de mort se simplifie au fur et à mesure de l'âge	9. Concernant la maladie, la mort et le deuil, indiquez la (ou les) réponse(s) exacte(s) :	UE7T130309	FAUX	B. La notion de mort se complexifie avec l'âge						
C. Avant 2 ans, la notion de mort n'existe pas	9. Concernant la maladie, la mort et le deuil, indiquez la (ou les) réponse(s) exacte(s) :	UE7T130309	VRAI							
D. Au début de l'âge adulte, les notions de mort sont intégrées et des questions éthiques et philosophiques s'y rajoutent	9. Concernant la maladie, la mort et le deuil, indiquez la (ou les) réponse(s) exacte(s) :	UE7T130309	FAUX	D. A l'adolescence ces notions sont intégrées et des questions éthiques et philosophiques s'y rajoutent						
E. Entre 2 et 6 ans, l'enfant a conscience que la vie et la mort sont deux états différents et irréversibles.	9. Concernant la maladie, la mort et le deuil, indiquez la (ou les) réponse(s) exacte(s) :	UE7T130309	FAUX	E. Entre 2 et 6 ans, l'enfant a conscience que la vie et la mort sont deux états différents et réversibles						
A. C'est l'étude du développement psychomoteur	10. D'après la théorie du développement cognitif selon Piaget, indiquez la (ou les) réponse(s) exacte(s) :	UE7T130310	FAUX	A. C'est l'étude du développement des processus intellectuels						
B. La pensée naît de l'action	10. D'après la théorie du développement cognitif selon Piaget, indiquez la (ou les) réponse(s) exacte(s) :	UE7T130310	VRAI							
C. Les principales acquisitions au cours de la période de l'intelligence sensori-­‐motrice sont les liens de causalité et la notion de permanence de l'objet	10. D'après la théorie du développement cognitif selon Piaget, indiquez la (ou les) réponse(s) exacte(s) :	UE7T130310	VRAI							
D. Raisonnement hypothético-­‐déductif et pensée formelle entre 11 et 16 ans	10. D'après la théorie du développement cognitif selon Piaget, indiquez la (ou les) réponse(s) exacte(s) :	UE7T130310	VRAI							
E. L'accès à la symbolisation a lieu lors du stade préopératoire entre 2 et 7 ans.	10. D'après la théorie du développement cognitif selon Piaget, indiquez la (ou les) réponse(s) exacte(s) :	UE7T130310	VRAI							
A. La proportion des 20-­‐59 ans est supérieure à celle des moins de 20 ans	11. Concernant la démographie de la population française aujourd'hui, indiquer les propositions vraies	UE7T130311	VRAI							
B. Le vieillissement démographique est homogène sur le territoire	11. Concernant la démographie de la population française aujourd'hui, indiquer les propositions vraies	UE7T130311	FAUX	B. Faux, le vieillissement est hétérogène sur le territoire						
C. Le niveau de formation est en augmentation.	11. Concernant la démographie de la population française aujourd'hui, indiquer les propositions vraies	UE7T130311	VRAI							
D. La proportion des agriculteurs est de 10 %	11. Concernant la démographie de la population française aujourd'hui, indiquer les propositions vraies	UE7T130311	FAUX	D. Faux, la proportion des agriculteurs dans la population n'est plus que de 1 %						
E. Le solde naturel est positif.	11. Concernant la démographie de la population française aujourd'hui, indiquer les propositions vraies	UE7T130311	VRAI							
A. La sénescence est réversible	12. Concernant la démographie de la population française aujourd'hui, indiquer les propositions vraies	UE7T130312	FAUX	A. Faux, la sénescence est le vieillissement personnel irréversible						
B. La formation influence le recours aux soins	12. Concernant la démographie de la population française aujourd'hui, indiquer les propositions vraies	UE7T130312	VRAI							
C. Le taux de chômage est supérieur chez les hommes	12. Concernant la démographie de la population française aujourd'hui, indiquer les propositions vraies	UE7T130312	FAUX							
D. La connaissance des disparités démographiques permet d'adapter les soins à la population	12. Concernant la démographie de la population française aujourd'hui, indiquer les propositions vraies	UE7T130312	VRAI							
E. En 2011, le chômage touchait 22 % des 15 à 24 ans.	12. Concernant la démographie de la population française aujourd'hui, indiquer les propositions vraies	UE7T130312	VRAI							
A. La mortalité infantile augmente dans les pays développés	13. Concernant la démographie de la population française aujourd'hui, indiquer les propositions vraies	UE7T130313	FAUX	A. Faux elle diminue						
B. L'évolution de la mortalité infantile au XIXème siècle résulte surtout du mode de vie	13. Concernant la démographie de la population française aujourd'hui, indiquer les propositions vraies	UE7T130313	VRAI							
C. La différence d'espérance de vie entre hommes et femmes s'explique notamment par des prises de risques plus fréquentes chez les hommes	13. Concernant la démographie de la population française aujourd'hui, indiquer les propositions vraies	UE7T130313	VRAI							
D. On recense en 2011, 55000 décès	13. Concernant la démographie de la population française aujourd'hui, indiquer les propositions vraies	UE7T130313	FAUX	D. Faux 555000						
E. Le solde migratoire est d'environ 77000.	13. Concernant la démographie de la population française aujourd'hui, indiquer les propositions vraies	UE7T130313	VRAI							
A. La morbidité objective est celle diagnostiquée par un professionnel de santé	14. Concernant les données de morbidité, indiquer les propositions vraies	UE7T130314	FAUX	A. Faux, la morbidité objective concerne celle enregistrée par les sondages et enquêtes						
B. La morbidité exprimée reflète toujours la morbidité ressentie	14. Concernant les données de morbidité, indiquer les propositions vraies	UE7T130314	VRAI							
C. La prévalence représente un indicateur dynamique	14. Concernant les données de morbidité, indiquer les propositions vraies	UE7T130314	FAUX	C. Faux (pensez à PS post scriptum : prévalence statique)						
D. L'incidence est le nombre de cas apparus dans une population pendant une période de temps donnée	14. Concernant les données de morbidité, indiquer les propositions vraies	UE7T130314	VRAI							
E. La santé perçue chez les hommes est toujours moins bonne que celle chez les femmes. (Hypocondriaque...)	14. Concernant les données de morbidité, indiquer les propositions vraies	UE7T130314	FAUX	E. Faux						
A. Un tiers de la population fume régulièrement du tabac	15. Concernant les addictions en France aujourd'hui, indiquer les propositions vraies	UE7T130315	VRAI							
B. La fréquence des ivresses au cours de l'année chez les moins de 17 ans est importante en Bretagne	15. Concernant les addictions en France aujourd'hui, indiquer les propositions vraies	UE7T130315	VRAI							
C. L'alcool est responsable de 45 000 décès par an	15. Concernant les addictions en France aujourd'hui, indiquer les propositions vraies	UE7T130315	VRAI							
D. La consommation d'alcool est plus importante chez les hommes	15. Concernant les addictions en France aujourd'hui, indiquer les propositions vraies	UE7T130315	VRAI							
E. La proportion des fumeurs augmente avec l'âge.	15. Concernant les addictions en France aujourd'hui, indiquer les propositions vraies	UE7T130315	FAUX	E. Faux, elle diminue avec l'âge						
A. 2 personnes sur 5 sont affectées par une déficience	16. Concernant les données de morbidité et de mortalité, indiquer les propositions vraies	UE7T130316	VRAI							
B. Les décès sont enregistrés seulement par l'Etat civil	16. Concernant les données de morbidité et de mortalité, indiquer les propositions vraies	UE7T130316	FAUX							
C. Les Maladies Cardio Vasculaire sont la première cause de décès chez les hommes	16. Concernant les données de morbidité et de mortalité, indiquer les propositions vraies	UE7T130316	FAUX	cancer						
D. Les cancers sont la première cause de décès chez les femmes	16. Concernant les données de morbidité et de mortalité, indiquer les propositions vraies	UE7T130316	FAUX							
E. Un décès avant 65 ans concerne la mortalité prématurée.	16. Concernant les données de morbidité et de mortalité, indiquer les propositions vraies	UE7T130316	VRAI							
A. Les pharmaciens sont majoritairement dans l'industrie pharmaceutique	17. Concernant les soins de ville en France aujourd'hui, indiquer les propositions vraies	UE7T130317	FAUX	A. Faux, en officines						
B. La profession d'infirmier fait l'objet d'une importante spécialisation	17. Concernant les soins de ville en France aujourd'hui, indiquer les propositions vraies	UE7T130317	FAUX	B. Faux, mois de 10 % de spécialisation						
C. Les SSIAD prennent en charge environ 10 000 personnes	17. Concernant les soins de ville en France aujourd'hui, indiquer les propositions vraies	UE7T130317	FAUX	C. Faux, ils prennent en charge 100 000 personnes						
D. Les soins en urgence sortent du parcours coordonné de soins	17. Concernant les soins de ville en France aujourd'hui, indiquer les propositions vraies	UE7T130317	VRAI							
E. La rémunération des pharmaciens est basée sur le taux de marque.	17. Concernant les soins de ville en France aujourd'hui, indiquer les propositions vraies	UE7T130317	VRAI							
A. La Haute Autorité de Santé fixe chaque année le numerus clausus	18. Concernant les soins de ville en France aujourd'hui, indiquer les propositions vraies	UE7T130318	FAUX							
B. La part des pharmaciens et des masseurs kinésithérapeutes dans des villes inférieures à 10000 habitants est similaire	18. Concernant les soins de ville en France aujourd'hui, indiquer les propositions vraies	UE7T130318	VRAI	B. Vrai, environ 25 %						
C. La part des généralistes et des spécialistes dans des villes inférieures à 10000 habitants est similaire	18. Concernant les soins de ville en France aujourd'hui, indiquer les propositions vraies	UE7T130318	FAUX	C. Faux il y a peu de spécialiste dans les villes inférieures à 10000 habitants						
D. Les Sages Femmes exercent principalement dans les établissements de santé	18. Concernant les soins de ville en France aujourd'hui, indiquer les propositions vraies	UE7T130318	VRAI							
E. Les salariés ont une rémunération dépendante de l'activité.	18. Concernant les soins de ville en France aujourd'hui, indiquer les propositions vraies	UE7T130318	FAUX							
A. Il existe une graduation des soins.	19. Concernant les soins de ville en France aujourd'hui, indiquer les propositions vraies	UE7T130319	VRAI							
B. L'union régionale des professionnels de santé regroupe les médecins salariés et les libéraux	19. Concernant les soins de ville en France aujourd'hui, indiquer les propositions vraies	UE7T130319	FAUX	B. Faux, l'union régionale de santé regroupe uniquement les professionnels de santé libéraux						
C. La majorité des professionnels de santé sont syndiqués	19. Concernant les soins de ville en France aujourd'hui, indiquer les propositions vraies	UE7T130319	FAUX							
D. Le système d'information de l'Assurance Maladie couvre toute la population	19. Concernant les soins de ville en France aujourd'hui, indiquer les propositions vraies	UE7T130319	VRAI							
E. Le dossier médical personnel couvre toute la population.	19. Concernant les soins de ville en France aujourd'hui, indiquer les propositions vraies	UE7T130319	FAUX	E. Faux						
A. Il a été instauré grâce à la loi du 13 août 2004	20. Concernant le parcours coordonné de soins, indiquer les propositions vraies	UE7T130320	VRAI							
B. Il réduit les consultations chez le spécialiste	20. Concernant le parcours coordonné de soins, indiquer les propositions vraies	UE7T130320	VRAI							
C. Il est surtout appliqué par les médecins spécialistes	20. Concernant le parcours coordonné de soins, indiquer les propositions vraies	UE7T130320	FAUX	C. Faux, le médecin traitant est souvent un généraliste						
D. Une fois le médecin traitant choisi, il est impossible d'en changer	20. Concernant le parcours coordonné de soins, indiquer les propositions vraies	UE7T130320	FAUX	D. Faux, on peut en changer tant que l'on veut						
E. Il permet notamment une meilleure coordination du dossier médical de chaque patient.	20. Concernant le parcours coordonné de soins, indiquer les propositions vraies	UE7T130320	VRAI							
A. Il y a actuellement 855 infirmiers pour 10000 habitants	21. Concernant la profession d'infirmier en France aujourd'hui, indiquer les propositions vraies	UE7T130321	FAUX	A. Il y a 855 infirmiers pour 100000 habitants actuellement						
B. Les 3⁄4 exercent en cabinet libéral ou intérim	21. Concernant la profession d'infirmier en France aujourd'hui, indiquer les propositions vraies	UE7T130321	FAUX	B. Faux, les 3⁄4 exercent en établissement de santé						
C. Les soins infirmiers concernent les soins de base, techniques et relationnels	21. Concernant la profession d'infirmier en France aujourd'hui, indiquer les propositions vraies	UE7T130321	VRAI							
D. Il y a plus d'infirmiers libéraux que de sages femmes libérales	21. Concernant la profession d'infirmier en France aujourd'hui, indiquer les propositions vraies	UE7T130321	VRAI							
E. Les infirmiers libéraux se concentrent en Ile de France.	21. Concernant la profession d'infirmier en France aujourd'hui, indiquer les propositions vraies	UE7T130321	FAUX	E. Faux, il y a très peu d'infirmiers libéraux en Ile de France						
A. Ordonnance de 1958	22. La création des Agences Régionales de Santé est liée à une loi ou ordonnance, laquelle ?	UE7T130322	FAUX							
B. Loi de 1975	22. La création des Agences Régionales de Santé est liée à une loi ou ordonnance, laquelle ?	UE7T130322	FAUX							
C. Loi de 1991	22. La création des Agences Régionales de Santé est liée à une loi ou ordonnance, laquelle ?	UE7T130322	FAUX							
D. Loi de 1996	22. La création des Agences Régionales de Santé est liée à une loi ou ordonnance, laquelle ?	UE7T130322	FAUX							
E. Loi de 2009.	22. La création des Agences Régionales de Santé est liée à une loi ou ordonnance, laquelle ?	UE7T130322	VRAI							
A. Il y a environ 3000 établissements de santé	23. Concernant les données de cadrage dans les établissements de santé en France aujourd'hui, indiquer les propositions vraies	UE7T130323	VRAI							
B. Le nombre de lits permet de définir la taille d'un établissement	23. Concernant les données de cadrage dans les établissements de santé en France aujourd'hui, indiquer les propositions vraies	UE7T130323	VRAI							
C. Les places représentent la principale capacité d'accueil	23. Concernant les données de cadrage dans les établissements de santé en France aujourd'hui, indiquer les propositions vraies	UE7T130323	FAUX	C. Faux, elles représentent un dixième de la capacité d'accueil						
D. Il y a environ 300 lits par hôpital public	23. Concernant les données de cadrage dans les établissements de santé en France aujourd'hui, indiquer les propositions vraies	UE7T130323	VRAI							
E. Les cliniques sont plus petites que les hôpitaux.	23. Concernant les données de cadrage dans les établissements de santé en France aujourd'hui, indiquer les propositions vraies	UE7T130323	VRAI							
