<div>A. Le rubidium (Rb).</div><div>B. Le tellure(Te).</div><div>C. Le fluor (F).</div><div>D. Le soufre (S).</div><div>E. Le chlore (Cl).</div>	1. Parmi les atomes cités, lequel est le plus électronégatif.	UE1T130201	C							
"D. Le composé Z est le suivant :<div><img src=""UE1T130217d.png"" /></div>"	17. On considère les deux réactions suivantes : Chacune de ces deux réactions ne suit qu'un seul et unique mécanisme réactionnel. Lorsque l'on augmente la concentration en tert-butanolate de potassium, la vitesse de la réaction (2) augmente tandis que celle de la réaction (1) reste inchangée. parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130217	FAUX	D.D'après les tableaux, les réactions (1) et (2) sont des réactions d'élimination. L'atome de chlore est le nucléofuge. D'après l'énoncé, la concentration en tert-butanolate de potassium, c'est-à-dire en base, influence la vitesse de la réaction (2), mais pas celle de la (1) : on en conclut que la réaction (1) est une E1 (règle de vitesse unimoléculaire, d'ordre 1) et que la (2) est une E2 (règle de vitesse bimoléculaire, d'ordre 2).<br />De plus, la règle de Saytzeff prédit que l'alcène le plus substitué, et donc le plus stable, est produit majoritairement. l'alcène Z, minoritaire dans les deux réactions, est donc l'alcène le moins substitué et les alcènes X et Y sont les alcènes les plus substitués.<br />Enfin, l'alcène Y, majoritaire dans la réaction (1), est l'alcène de configuration (E), dont l'encombrement stérique est plus faible, et qui est donc plus stable, que l'alcène X, de configuration (Z). En revanche, dans la réaction (2), qui est une E2, il existe une stéréosélectivité car les atomes de chlore et d'hydrogène s'éliminent en antipériplanaires, c'est-à-dire qu'ils se trouvent dans le même plan et sont opposés l'un à l'autre (angle de 180°). C'est la raison pour laquelle seul l'alcène X est produit.	"<img src=""UE1T1302171.png"" /><img src=""UE1T1302172.png"" />"					
"E. Le composé Z est le suivant :<div><img src=""UE1T130217e.png"" /></div>"	17. On considère les deux réactions suivantes : Chacune de ces deux réactions ne suit qu'un seul et unique mécanisme réactionnel. Lorsque l'on augmente la concentration en tert-butanolate de potassium, la vitesse de la réaction (2) augmente tandis que celle de la réaction (1) reste inchangée. parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130217	VRAI	E.D'après les tableaux, les réactions (1) et (2) sont des réactions d'élimination. L'atome de chlore est le nucléofuge. D'après l'énoncé, la concentration en tert-butanolate de potassium, c'est-à-dire en base, influence la vitesse de la réaction (2), mais pas celle de la (1) : on en conclut que la réaction (1) est une E1 (règle de vitesse unimoléculaire, d'ordre 1) et que la (2) est une E2 (règle de vitesse bimoléculaire, d'ordre 2).<br />De plus, la règle de Saytzeff prédit que l'alcène le plus substitué, et donc le plus stable, est produit majoritairement. l'alcène Z, minoritaire dans les deux réactions, est donc l'alcène le moins substitué et les alcènes X et Y sont les alcènes les plus substitués.<br />Enfin, l'alcène Y, majoritaire dans la réaction (1), est l'alcène de configuration (E), dont l'encombrement stérique est plus faible, et qui est donc plus stable, que l'alcène X, de configuration (Z). En revanche, dans la réaction (2), qui est une E2, il existe une stéréosélectivité car les atomes de chlore et d'hydrogène s'éliminent en antipériplanaires, c'est-à-dire qu'ils se trouvent dans le même plan et sont opposés l'un à l'autre (angle de 180°). C'est la raison pour laquelle seul l'alcène X est produit.	"<img src=""UE1T1302171.png"" /><img src=""UE1T1302172.png"" />"					
A. La réaction passe majoritairement par un mécanisme d'élimination E1.	18. On considère la réaction suivante : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130218	FAUX	A. Faux, on fait ici réagir un dérivé halogéné tertiaire avec un mauvais nucléophile : la réaction passe majoritairement par un mécanisme de SN1 et minoritairement par un mécanisme de E1 (cf tableau des concurrences entre SN et E).	"<img src=""UE1T1302181.png"" />"					
B. La réaction permettant la formation du produit majoritaire passe par un mécanisme de substitution nucléophile SN2.	18. On considère la réaction suivante : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130218	FAUX		"<img src=""UE1T1302181.png"" />"					
C. Le produit majoritairement obtenu est un mélange racémique de deux énantiomères.	18. On considère la réaction suivante : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130218	VRAI	C. Vrai, la réaction étant une SN1 on a dans un premier temps la rupture de la liaison carbone-halogène pour aboutir à la formation d'un carbocation plan. Ce carbocation peut ensuite être attaqué par le nucléophile qui se fixera de l'un ou l'autre des côtés du plan formé par le carbocation. Ceci conduira donc à la formation d'un mélange racémique de deux énantiomères.	"<img src=""UE1T1302181.png"" />"					
D. La formation du produit A passe par un intermédiaire carbocationique.	18. On considère la réaction suivante : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130218	VRAI		"<img src=""UE1T1302181.png"" />"					
E. La formation du composé B est gouvernée par la règle de Saytzeff.	18. On considère la réaction suivante : parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) :	UE1T130218	VRAI	E. Vrai, la règle de Saytzeff régit les mécanismes d'élimination : on forme préférentiellement l'alcène le plus substitué.	"<img src=""UE1T1302181.png"" />"					
"A. Le produit A est le suivant :<div><img src=""UE1T1302191.png"" /></div>"	19. Parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) concernant la réaction précédente :	UE1T130219	FAUX	A. Faux, le produit A est issu d'une SN1, il ne s'agit donc pas d'un alcène.	"<img src=""UE1T1302181.png"" />"					
"B. Le produit A est le suivant :<div><img src=""UE1T1302192.png"" /></div>"	19. Parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) concernant la réaction précédente :	UE1T130219	FAUX	B. Faux, on peut former deux composés différents par attaque du carbocation selon l'un ou l'autre des cotés du plan.	"<img src=""UE1T1302181.png"" />"					
"C. Le produit A est le suivant :<div><img src=""UE1T1302193.png"" /></div>"	19. Parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) concernant la réaction précédente :	UE1T130219	VRAI		"<img src=""UE1T1302181.png"" />"					
"D. Le produit B est le suivant :<div><img src=""UE1T1302194.png"" /></div>"	19. Parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) concernant la réaction précédente :	UE1T130219	FAUX	D. Faux, le produit B est issu d'une E1, il s'agira donc d'un alcène.	"<img src=""UE1T1302181.png"" />"					
"E. Le produit B est le suivant :<div><img src=""UE1T1302195.png"" /></div>"	19. Parmi les propositions suivantes, indiquer la ou les proposition(s) exacte(s) concernant la réaction précédente :	UE1T130219	VRAI	E. Vrai, on peut former deux alcènes différents selon que ce soit le groupement C4H9 ou C2H5 qui perd son hydrogène pour former la double liaison C=C. remarque : les branches en « vaguelettes » du produit B permettent d'indiquer qu'il existe deux isomères possibles pour la molécule : le Z et le E.	"<img src=""UE1T1302181.png"" />"					
